"PPG","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Tesco_Week_No","Base_Units","RSP_Unit","Net_Cost_Unit","FM%","COGS_Unit","BIP_Case","OID","No_Of_Units","STP_Unit","OID_Unit","UNCR_Unit"
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",1,35,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",2,58,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",3,67,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",4,33,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",5,44,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",6,50,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",7,33,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",8,48,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",9,59,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",10,33,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",11,14,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",12,30,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
"D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",13,48,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0
