"","PPG","Category","Manufacturer","Brand","Format","PPG_Description","Tesco_Week_No","Week_Ending","Base_Units","RSP_Unit","Net_Cost_Unit","COGS_Unit","VAT","BIP_Case","OID","No_Of_Units","STP_Unit","UNCR_Unit","OID_Unit","FM_Abs_Unit_1","FM%","Discount","Display","Display_Cost","Event_Multiplier_Tesco","Display_Flag","TPR_Flag","Event_Lift","Total_Sales","Promo_Price","Retro_Funding_Unit","Retro_Funding_Total","UNCR_Total","OID_Total","Total_Trade_Investment","Gross_Sales","Net_Revenue","NIS","BIP","COGS_Total","GM_Abs","Inc_GM_Abs","FM_Abs_Unit_2","FM%_2","FM_Total","Retailer_Revenue","Inc_NIS","Inc_Revenue","Units_Sale_in_Case","R_NIS_Inc","R_Net_Rev_Inc","R_GM_Inc","R_Trade_Inv_Inc"
"1","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,2023-12-31,5,19.3333333333333,16.44,3.52,0.05,295.92,0,18,16.44,0,0,1.97269841269841,0.107137931034483,1,"0",0,0,0,0,0,15,0,0,0,290,0,-2.5,0,2.5,2.5,246.6,52.8,-50.3,0,0,0.107137931034483,0,0,0,0,0.833333333333333,0,0,0,0
"2","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,2024-01-01,7,18.82,16.44,3.52,0.05,295.92,0,18,16.44,0,0,1.48380952380952,0.0827842720510095,1,"0",0,0,0,0,0,25,0,0,0,470.5,0,-17,0,17,17,411,88,-71,0,0,0.0827842720510095,0,0,0,0,1.38888888888889,0,0,0,0
"3","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,2024-01-02,7,17.875,16.44,3.52,0.05,295.92,0,18,16.44,0,0,0.583809523809521,0.0342937062937061,1,"0",0,0,0,0,0,12,0,0,0,214.5,0,-19.5,0,19.5,19.5,197.28,42.24,-22.74,0,0,0.0342937062937061,0,0,0,0,0.666666666666667,0,0,0,0
"4","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,2024-01-03,5,17.5833333333333,16.44,3.52,0.05,295.92,0,18,16.44,0,0,0.306031746031742,0.0182748815165874,1,"0",0,0,0,0,0,12,0,0,0,211,0,0,0,0,0,197.28,42.24,-42.24,0,0,0.0182748815165874,0,0,0,0,0.666666666666667,0,0,0,0
"5","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,2024-01-04,7,17.7,16.44,3.52,0.05,295.92,0,18,16.44,0,0,0.417142857142853,0.0247457627118642,1,"0",0,0,0,0,0,15,0,0,0,265.5,0,0,0,0,0,246.6,52.8,-52.8,0,0,0.0247457627118642,0,0,0,0,0.833333333333333,0,0,0,0
"6","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,2024-01-05,7,17.875,16.44,3.52,0.05,295.92,0,18,16.44,0,0,0.583809523809521,0.0342937062937061,1,"0",0,0,0,0,0,12,0,0,0,214.5,0,0,0,0,0,197.28,42.24,-42.24,0,0,0.0342937062937061,0,0,0,0,0.666666666666667,0,0,0,0
"7","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,2024-01-06,7,18.2173913043478,16.44,3.52,0.05,295.92,0,18,16.44,0,0,0.909896480331259,0.0524439140811454,1,"0",0,0,0,0,0,23,0,0,0,419,0,0,0,0,0,378.12,80.96,-80.96,0,0,0.0524439140811454,0,0,0,0,1.27777777777778,0,0,0,0
"8","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,2024-01-07,7,17.75,16.44,3.52,0.05,295.92,0,18,16.44,0,0,0.464761904761904,0.0274929577464788,1,"0",0,0,0,0,0,28,0,0,0,497,0,0,0,0,0,460.32,98.56,-98.56,0,0,0.0274929577464788,0,0,0,0,1.55555555555556,0,0,0,0
"9","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,2024-01-08,7,17.6086956521739,16.44,3.52,0.05,295.92,0,18,16.44,0,0,0.330186335403727,0.0196888888888889,1,"0",0,0,0,0,0,23,0,0,0,405,0,0,0,0,0,378.12,80.96,-80.96,0,0,0.0196888888888889,0,0,0,0,1.27777777777778,0,0,0,0
"10","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,2024-01-09,6,17.3181818181818,16.44,3.52,0.05,295.92,0,18,16.44,0,0,0.0535064935064895,0.00324409448818873,1,"0",0,0,0,0,0,11,0,0,0,190.5,0,0,0,0,0,180.84,38.72,-38.72,0,0,0.00324409448818873,0,0,0,0,0.611111111111111,0,0,0,0
