"","PPG","Best_ROI_Flag","Tesco_Week_No","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Base Sales","RSP (unit)","Net Cost (Unit)","FM%","COGS (unit)","BIP (Case)","OID","No_Of_Units","STP (Unit)","OID_Unit","UNCR_Unit","Start Date","End Date","Duration","Seq","VAT","Track ID","Rank","Min_Disc_Slots","Extra_Slot_Flag","Min_Display_Slots","Max_Display_Slots","Discount","Display","Display_Cost","Display_Flag","Flyer","Flyer_Cost","Flyer_Flag","Event_Multiplier_Tesco","Event_Multiplier_Discount","Event_Multiplier_Flyer","Event_Multiplier_Display","Event_Multiplier_Flyer_Display","ROI","Adi_Display_Flag","Adi_Flyer_Flag","Flag_Check","Flag_Check_Counter","Eff_Multiplier","Event_Lift","Total_Sales","Promo_Price","Retro_Funding_Unit","Gross_Sales","Retro_Funding_Total","UNCR_Total","OID_Total","Total_Trade_Investment","Net_Revenue","NIS","BIP","COGS_Total","GM_Abs","Inc_GM_Abs","Inc_Revenue","Inc_NIS","R_UNCR_Inc","R_OID_Inc","R_Retro_Inc","R_Display_Cost","R_Trade_Inv_Inc","R_NIS_Inc","R_Net_Rev_Inc","R_GM_Inc","Value_Sales"
"1","D74","0",2,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-0%",9,8.5,6.15651583710407,0.239489220122438,0.830310120344872,443.269140271493,0,72,6.15651583710407,0,0,"2026-01-06","2026-01-15",10,0,0.2,1,0,0,0,0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8.5,0.335,76.5,25.6275,0,0,25.6275,50.8725,76.5,55.4086425339366,7.47279108310385,43.3997089168962,0,0,0,0,0,3.015,0,3.015,0,-3.015,-3.015,76.5
"2","D74","0",3,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-0%",12,8.5,6.15651583710407,0.239489220122438,0.830310120344872,443.269140271493,0,72,6.15651583710407,0,0,"2026-01-15","2026-01-26",12,0,0.2,2,0,0,0,0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8.5,0.335,102,34.17,0,0,34.17,67.83,102,73.8781900452489,9.96372144413847,57.8662785558615,0,0,0,0,0,4.02,0,4.02,0,-4.02,-4.02,102
"3","D74","0",4,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-0%",10,8.5,6.15651583710407,0.239489220122438,0.830310120344872,443.269140271493,0,72,6.15651583710407,0,0,"2026-01-27","2026-02-05",10,0,0.2,3,0,0,0,0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8.5,0.335,85,28.475,0,0,28.475,56.525,85,61.5651583710407,8.30310120344872,48.2218987965513,0,0,0,0,0,3.35,0,3.35,0,-3.35,-3.35,85
"4","D74","Discount_Only",5,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-0%",14,8.5,6.15651583710407,0.239489220122438,0.830310120344872,443.269140271493,0,72,6.15651583710407,0,0,"2026-02-06","2026-02-19",14,1,0.2,4,1,0,1,0,10,0.117647058823529," ",0,0,"",0,0,0.982301814498254,0.982301814498254,0,0,0,0.445409562703414,9,9,2,1,0.982301814498254,13.7522254029756,27.7522254029756,7.5,0.335,208.141690522317,69.7274663249761,27.7522254029756,0,97.4796917279516,110.661998794365,180.389465119341,170.857015208301,23.0429536141827,87.6190451801824,43.4183868650106,54.836998794365,89.3894651193411,13.7522254029756,0,9.29699550999681,0,23.0492209129724,70.9135680858684,61.6165725758716,50.1979606465171,208.141690522317
"5","D74","0",6,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-0%",11,8.5,6.15651583710407,0.239489220122438,0.830310120344872,443.269140271493,0,72,6.15651583710407,0,0,"2026-02-20","2026-03-02",11,0,0.2,5,0,0,0,0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8.5,0.335,93.5,31.3225,0,0,31.3225,62.1775,93.5,67.7216742081448,9.13341132379359,53.0440886762064,0,0,0,0,0,3.685,0,3.685,0,-3.685,-3.685,93.5
"6","D74","0",7,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-0%",10,8.5,6.15651583710407,0.239489220122438,0.830310120344872,443.269140271493,0,72,6.15651583710407,0,0,"2026-03-03","2026-03-12",10,0,0.2,6,0,0,0,0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8.5,0.335,85,28.475,0,0,28.475,56.525,85,61.5651583710407,8.30310120344872,48.2218987965513,0,0,0,0,0,3.35,0,3.35,0,-3.35,-3.35,85
"7","D74","0",8,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-0%",11,8.5,6.15651583710407,0.239489220122438,0.830310120344872,443.269140271493,0,72,6.15651583710407,0,0,"2026-03-13","2026-03-23",11,0,0.2,7,0,0,0,0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8.5,0.335,93.5,31.3225,0,0,31.3225,62.1775,93.5,67.7216742081448,9.13341132379359,53.0440886762064,0,0,0,0,0,3.685,0,3.685,0,-3.685,-3.685,93.5
"8","D74","0",9,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-0%",11,8.5,6.15651583710407,0.239489220122438,0.830310120344872,443.269140271493,0,72,6.15651583710407,0,0,"2026-03-24","2026-04-03",11,0,0.2,8,0,0,0,0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8.5,0.335,93.5,31.3225,0,0,31.3225,62.1775,93.5,67.7216742081448,9.13341132379359,53.0440886762064,0,0,0,0,0,3.685,0,3.685,0,-3.685,-3.685,93.5
"9","D74","0",10,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-0%",11,8.5,6.15651583710407,0.239489220122438,0.830310120344872,443.269140271493,0,72,6.15651583710407,0,0,"2026-04-04","2026-04-14",11,0,0.2,9,0,0,0,0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8.5,0.335,93.5,31.3225,0,0,31.3225,62.1775,93.5,67.7216742081448,9.13341132379359,53.0440886762064,0,0,0,0,0,3.685,0,3.685,0,-3.685,-3.685,93.5
"10","D74","0",11,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-0%",10,8.5,6.15651583710407,0.239489220122438,0.830310120344872,443.269140271493,0,72,6.15651583710407,0,0,"2026-04-15","2026-04-24",10,0,0.2,10,0,0,0,0,0,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8.5,0.335,85,28.475,0,0,28.475,56.525,85,61.5651583710407,8.30310120344872,48.2218987965513,0,0,0,0,0,3.35,0,3.35,0,-3.35,-3.35,85
