"","PPG","Week End Date","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","DISPLAY TYPE_HEA","RSP_Unit","Flag_Display_HEA","Flag_TPR_HEA","Base_Units","Retro_Fund_Total","Promo_Price","Flag_Modeled_Betas","Flag_PPG","VAT","Net_Cost_Unit","FM_Abs_Unit_2","Net_Cost_Total","COGS_Total","Units","FM_Abs_Unit_1","Flag_RB_Financial","Base Units","COGS_Unit","Gross_Sales","Retailer_Revenue","FM_Total","No_Of_Units","Display_Cost","Display_Num","OID_Total","UNCR_Total","Total_Inc_Unit_Sales","Inc_Unit_Discount","Inc_Unit_Display","ACV_D","NIS","ACV_D_Any_Promo","ACV_D_Multibuy_Display","ACV_D_Multibuy_Only","ACV_D_Feature_Display","ACV_D_Display_Only","ACV_D_Feature_Only","ACV_D_Unsupported","ACV_D_Total_Multibuy","ACV_D_Multibuy_Feature_Display","ACV_D_Multibuy_Feature","Total Regular Price Elasticiy_Betas","Regular Price Elasticity_Betas","Reg Price Ratio Rest of Brand_Betas","Reg Price Ratio Rest of Manufacturer_Betas","Reg Price Ratio Rest of Category_Betas","Promoted Price Elasticity_Betas","Display Only_Betas","Feature Only_Betas","Feature and Display_Betas","Multi Buy_Betas","Total Multibuy Effect_Betas","R_GM_Inc","R_Net_Revenue_Inc","R_NIS_Inc","R_Total_Trade_Inv_Inc","Value","Display_Type","Trade_Investment","Net_Revenue","GM_Abs","Inc_GM_Abs","Inc_Revenue","Inc_NIS","Key","Event_Number"
"1","D77",2023-12-31,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","0",19.3333333333333,0,0,5,0,19.5,1,1,0.05,16.44,8.52571428571427,246.6,52.8,15,5.66857142857142,1,5,3.52,292.5,292.5,31.9714285714285,18,0,0,0,-2.5,0,0,0,0.221436388207827,295,0.129736425234954,0,0,0,0,0.129736425234954,1,0,0,0,-3.21325164879408,-2.74080926167983,0.642171672383094,0.642171672383094,1.02477970026647,-2.43973628095793,1.5,1.58066123618277,2.37099185427415,0,0,0,0,0,0,292.5,"0",-2.5,295,242.2,0,0,0,"D77_Bar Soap_RECKITT_Bar Soap_ALL_BAR SOAP-All-120GM-35%",0
"2","D77",2024-01-01,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","0",18.82,0,0,7,0,19.5,1,1,0.05,16.44,10.6571428571428,411,88,25,5.41904761904761,1,7,3.52,487.5,487.5,53.2857142857142,18,0,0,0,-17,0,0,0,0.266969444534542,504.5,0.138750940011162,0,0,0,0,0.138750940011162,1,0,0,0,-3.19604280455561,-2.84171101421992,0.628929899066208,0.628929899066208,1.00364843416699,-2.44391899648679,1.5,1.59597036164069,2.39395554246104,0,0,0,0,0,0,487.5,"0",-17,504.5,416.5,0,0,0,"D77_Bar Soap_RECKITT_Bar Soap_ALL_BAR SOAP-All-120GM-35%",0
"3","D77",2024-01-02,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","0",17.875,0,0,7,0,19.5,1,1,0.05,16.44,10.6571428571428,197.28,42.24,12,5.41904761904761,1,7,3.52,234,234,25.5771428571428,18,0,0,0,-19.5,0,0,0,0.20758750829733,253.5,0.134382891615401,0,0,0,0,0.134382891615401,1,0,0,0,-3.25801910222063,-3.11038085624742,0.606993633320339,0.606993633320339,0.968642468001288,-2.49329166722335,1.5,1.67734965732712,2.51602448599068,0,0,0,0,0,0,234,"0",-19.5,253.5,211.26,0,0,0,"D77_Bar Soap_RECKITT_Bar Soap_ALL_BAR SOAP-All-120GM-35%",0
"4","D77",2024-01-03,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","0",17.5833333333333,0,0,5,0,17.5833333333333,1,1,0.05,16.44,2.33523809523809,197.28,42.24,12,2.33523809523809,1,5,3.52,211,211,3.67238095238093,18,0,0,0,0,0,0,0,0.419461289958818,211,0.39053068803782,0,0,0,0,0.39053068803782,1,0,0,0,-3.12106805537743,-2.82579156343102,0.598091600989098,0.598091600989098,0.954436575065655,-2.32372315594126,1.5,1.81991101283325,2.72986651924988,0,0,0,0,0,0,211,"0",0,211,168.76,0,0,0,"D77_Bar Soap_RECKITT_Bar Soap_ALL_BAR SOAP-All-120GM-35%",0
"5","D77",2024-01-04,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","0",17.7,0,0,7,0,17.7,1,1,0.05,16.44,5.41904761904761,246.6,52.8,15,5.41904761904761,1,7,3.52,265.5,265.5,6.25714285714282,18,0,0,0,0,0,0,0,0.189749273185364,265.5,0.183399925945746,0,0,0,0,0.183399925945746,1,0,0,0,-3.27216587877153,-3.15405528199297,0.603447934317623,0.603447934317623,0.962984229686675,-2.48269360705067,1.5,1.72215924998749,2.58323887498124,0,0,0,0,0,0,265.5,"0",0,265.5,212.7,0,0,0,"D77_Bar Soap_RECKITT_Bar Soap_ALL_BAR SOAP-All-120GM-35%",0
"6","D77",2024-01-05,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","0",17.875,0,0,7,0,17.875,1,1,0.05,16.44,5.41904761904761,197.28,42.24,12,5.41904761904761,1,7,3.52,214.5,214.5,7.00571428571426,18,0,0,0,0,0,0,0,0.223912196585513,214.5,0.213995964401093,0,0,0,0,0.213995964401093,1,0,0,0,-3.25801910222063,-3.11038085624742,0.606993633320339,0.606993633320339,0.968642468001288,-2.49329166722335,1.5,1.67734965732712,2.51602448599068,0,0,0,0,0,0,214.5,"0",0,214.5,172.26,0,0,0,"D77_Bar Soap_RECKITT_Bar Soap_ALL_BAR SOAP-All-120GM-35%",0
"7","D77",2024-01-06,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","0",18.2173913043478,0,0,7,0,18.2173913043478,1,1,0.05,16.44,5.41904761904761,378.12,80.96,23,5.41904761904761,1,7,3.52,419,419,20.927619047619,18,0,0,0,0,0,0,0,0.307402702902792,419,0.288870927557152,0,0,0,0,0.288870927557152,1,0,0,0,-3.15096649620062,-2.91988054598169,0.614318013365169,0.614318013365169,0.980330738147376,-2.36522443919734,1.5,1.69458724087698,2.54188086131546,0,0,0,0,0,0,419,"0",0,419,338.04,0,0,0,"D77_Bar Soap_RECKITT_Bar Soap_ALL_BAR SOAP-All-120GM-35%",0
"8","D77",2024-01-07,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","0",17.75,0,0,7,0,17.75,1,1,0.05,16.44,5.41904761904761,460.32,98.56,28,5.41904761904761,1,7,3.52,497,497,13.0133333333333,18,0,0,0,0,0,0,0,0.379438183044868,497,0.341261903853023,0,0,0,0,0.341261903853023,1,0,0,0,-3.35920955866836,-3.16938895670282,0.604753157694427,0.604753157694427,0.965067109512092,-2.61188868476468,1.5,1.66976596835997,2.50464895253995,0,0,0,0,0,0,497,"0",0,497,398.44,0,0,0,"D77_Bar Soap_RECKITT_Bar Soap_ALL_BAR SOAP-All-120GM-35%",0
"9","D77",2024-01-08,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","0",17.6086956521739,0,0,7,0,17.6086956521739,1,1,0.05,16.44,5.41904761904761,378.12,80.96,23,5.41904761904761,1,7,3.52,405,405,7.59428571428566,18,0,0,0,0,0,0,0,0.430724076259313,405,0.424546817810766,0,0,0,0,0.424546817810766,1,0,0,0,-3.3568973499369,-3.27986869986393,0.602808793599878,0.602808793599878,0.961964286793945,-2.55174973290404,1.5,1.73023569244968,2.59535353867452,0,0,0,0,0,0,405,"0",0,405,324.04,0,0,0,"D77_Bar Soap_RECKITT_Bar Soap_ALL_BAR SOAP-All-120GM-35%",0
"10","D77",2024-01-09,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","0",17.3181818181818,0,0,6,0,17.3181818181818,1,1,0.05,16.44,2.33523809523809,180.84,38.72,11,2.33523809523809,1,6,3.52,190.5,190.5,0.588571428571406,18,0,0,0,0,0,0,0,0.18682523869651,190.5,0.168397537007244,0,0,0,0,0.168397537007244,1,0,0,0,-3.41332170544229,-3.41332170544229,0.595502335307188,0.595502335307188,0.950304616239799,-2.65406056881999,1.5,1.68435521287902,2.52653281931853,0,0,0,0,0,0,190.5,"0",0,190.5,151.78,0,0,0,"D77_Bar Soap_RECKITT_Bar Soap_ALL_BAR SOAP-All-120GM-35%",0
