"","PPG","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","Event_Number","PPG_Description","Display_Num","Display_Type","RSP_Unit","Promo_Price","Flag_Display_HEA","Flag_TPR_HEA","Total_Inc_Unit_Sales","Flag_RB_Financial","Base_Units","Inc_GM_Abs","Retro_Fund_Total","Display_Cost","Display_Type_Agg","Trade_Investment","Flag_Modeled_Betas","Flag_PPG","Start_Date","End_Date","FM_Total","Retailer_Revenue","No_Of_Units","Display_Num_Agg","Display_Type_Max","Inc_Revenue","NIS","Inc_NIS","Inc_Unit_Discount","Inc_Unit_Display","R_GM_Inc","R_Net_Revenue_Inc","R_NIS_Inc","R_Total_Trade_Inv_Inc","ACV_D","ACV_D_Any_Promo","ACV_D_Multibuy_Display","ACV_D_Multibuy_Only","ACV_D_Feature_Display","ACV_D_Display_Only","ACV_D_Feature_Only","ACV_D_Unsupported","ACV_D_Total_Multibuy","ACV_D_Multibuy_Feature_Display","ACV_D_Multibuy_Feature","Total Regular Price Elasticiy_Betas","Regular Price Elasticity_Betas","Reg Price Ratio Rest of Brand_Betas","Reg Price Ratio Rest of Manufacturer_Betas","Reg Price Ratio Rest of Category_Betas","Promoted Price Elasticity_Betas","Display Only_Betas","Feature Only_Betas","Feature and Display_Betas","Multi Buy_Betas","Total Multibuy Effect_Betas","Discount","Event_Multiplier","Event_Multiplier_Discount","Event_Multiplier_Display","ROI_GM","ROI_Rev","ROI_NIS","R_ROI_GM","R_ROI_Rev","R_ROI_NIS"
"1","D77","Bar Soap","RECKITT","Bar Soap","ALL",1,"BAR SOAP-All-120GM-35%",1,"GH",18.5847902097902,15.2342657342657,1,1,283.765081686137,1,49,1831.29233319274,46707.07,140,"GH",78351.07,1,1,2024-01-17,2024-01-23,-14608.1980952381,139424,18,1,"GH",1886.8303946252,108760,3380.30029828221,2.66600812651855,281.099073559618,-1445.97465895883,-1390.43659752637,3620.70470483849,6055.53454044646,12.4357725378272,12.4357725378272,0,0,12.4357725378272,12.4357725378272,12.4357725378272,1,0,0,0,-3.20203409851491,-2.74982744301657,0.623701566652783,0.623701566652783,0.995305043833939,-2.41152129162238,1.5,1.70253123291348,2.55379684937022,0,0,0.180283147547152,5.79112411604361,0.0544083291126235,5.73671578693098,0.0233729077751298,0.0240817438054796,0.043143001088335,-0.238785634744678,-0.229614179927352,0.597916613414535
"2","D77","Bar Soap","RECKITT","Bar Soap","ALL",2,"BAR SOAP-All-120GM-35%",0,"0",20,17,0,1,8.53921946916147,1,3,69.2327028758495,34.18,0,"0",52.18,1,1,2024-02-06,2024-02-06,0.512857142857131,102,18,0,"0",70.9039856589374,84,119.549072568261,3.31777735805944,0,109.230188360273,110.901471143361,114.76710966553,29.4832969296535,0.410260043659592,0.410260043659592,0,0,0,0,0.410260043659592,1,0,0,0,-3.25511019750332,-3.25511019750332,0.587793045074589,0.587793045074589,0.938002105130096,-2.38660470874404,1.5,1.88779160578982,2.83168740868474,0,0,0.15,2.84640648972049,1.10592578601981,0,1.32680534449692,1.35883452776806,2.29108993039978,3.704815937678,3.76150168714067,3.89261451795442
"3","D77","Bar Soap","RECKITT","Bar Soap","ALL",3,"BAR SOAP-All-120GM-35%",2,"STAIRCASE #2",18.7106907171139,9.75,1,1,1209.88561210997,1,49,-3450.68238722545,118786.98,437.5,"STAIRCASE #2",447731.88,1,1,2024-02-21,2024-02-27,-248003.782857143,354588,18,2,"STAIRCASE #2",-3213.88545276,28705.6,845.152126784739,13.1461337462259,1196.73947836375,-7554.35634735375,-7317.5594128883,8416.66726716854,27208.0788759762,14.9929836678715,14.9929836678715,0,0,14.9929836678715,14.9929836678715,14.9929836678715,1,0,0,0,-3.22877829621913,-2.82814798334508,0.619540881107375,0.619540881107375,0.988665407939844,-2.45389135486624,1.5,1.68910348989791,2.53365523484686,0,0,0.478907532201254,24.6915431042851,0.268288443800529,24.4232546604846,-0.00770702856188272,-0.00717814745012125,0.00188762999584649,-0.277651221969368,-0.268948037318042,0.309344415882304
"4","D77","Bar Soap","RECKITT","Bar Soap","ALL",4,"BAR SOAP-All-120GM-35%",0,"0",16.2118309859155,5.8317907444668,0,1,632.667892824574,1,28,-3756.47523624095,4854.84,0,"0",30649.24,1,1,2024-03-01,2024-03-04,-26219.0202380952,14492,18,0,"0",-3632.6504580503,-11302.4,-2296.05185873098,308.531365223868,0,3073.35829731493,3197.18307550558,3417.16681960181,7203.87708253042,0.68248280899767,0.682384219966044,0,0,0,0,0.682384219966044,1,0,0,0,-3.33504105939627,-3.15252810501813,0.600920414768077,0.600920414768077,0.958950805545136,-2.57078622172657,1.5,1.71410451197964,2.57115676796946,0,0,0.640275626514159,22.5952818865919,11.0189773294239,0,-0.122563405691004,-0.1185233453766,-0.0749138268593604,0.426625588152788,0.443814218215748,0.474351072409123
"5","D77","Bar Soap","RECKITT","Bar Soap","ALL",5,"BAR SOAP-All-120GM-35%",0,"0",16.3198330550918,11.9901502504174,0,1,276.569362563321,1,42,1012.47942091765,12030.04,0,"0",24997.44,1,1,2024-03-07,2024-03-12,-14033.9988095238,35910.5,18,0,"0",1066.60914736993,22943.1,2178.58597548451,102.292227349501,0,2736.23589174642,2790.3656181987,2897.08635465741,1756.4347023423,11.5144281191931,11.5144281191931,0,0,11.4571858075069,11.4571858075069,11.5144281191931,1,0,0,0,-3.26424835704668,-2.88743808919387,0.615191695652305,0.615191695652305,0.981724963260135,-2.47692054402819,1.5,1.72156864139332,2.58235296208998,0,0,0.265301905360091,6.58498482293621,2.43552922260716,0,0.0405033243771223,0.0426687351732789,0.0871523634213949,1.55783524892642,1.58865320440185,1.6494130700071
"6","D77","Bar Soap","RECKITT","Bar Soap","ALL",6,"BAR SOAP-All-120GM-35%",0,"0",16.6126611957796,6.95310668229777,0,1,534.697457815753,1,21,-2896.94867623723,3973.78,0,"0",20452.98,1,1,2024-03-15,2024-03-17,-16177.9871428571,11862,18,0,"0",-2792.29851955305,-4617.2,-1489.98832645004,318.575767392737,0,2802.2921348951,2906.94229157928,3093.10093994755,5883.4839149117,0.434329782898186,0.434329782898186,0,0,0,0,0.434329782898186,1,0,0,0,-3.17885651503674,-2.71569127913487,0.6271245537714,0.6271245537714,1.00076745811393,-2.42956352808611,1.5,1.63177778024983,2.44766667037474,0,0,0.581457383597025,25.461783705512,15.1702746377494,0,-0.14163944208801,-0.136522820613576,-0.0728494491487322,0.476298087225612,0.494085194014319,0.525726080784904
"7","D77","Bar Soap","RECKITT","Bar Soap","ALL",7,"BAR SOAP-All-120GM-35%",1,"GH",20.1153846153846,20.1777777777778,1,1,0,1,47,0,25307.78,140,"GH",26054.18,1,1,2024-04-17,2024-04-23,11651.0704761905,75545.6,18,1,"GH",0,75779.2,0,0,0,-4760,-4760,0,4760,8.54120150405541,8.54120150405541,0,0,5.04179841101134,8.54120150405541,5.04179841101134,1,0,0,0,-3.27464065513498,-2.97179297108738,0.607366845559437,0.607366845559437,0.969238041339333,-2.4920053884066,1.5,1.7388666481987,2.60829997229804,0,0,-0.00310176333120874,0,0,0,0,0,0,-1,-1,0
"8","D77","Bar Soap","RECKITT","Bar Soap","ALL",8,"BAR SOAP-All-120GM-35%",0,"0",19.0061538461538,16.3692307692308,0,1,261.518648848698,1,41,1246.02989394384,712.93,0,"0",1055.73,1,1,2024-06-27,2024-07-02,-66.9833333333336,2128,18,0,"0",1297.21391806404,1785.2,2593.13830039135,196.110729157141,0,1646.606755423,1697.7907795432,1791.76452690751,2601.57580752939,0.266459879509063,0.246313250637882,0,0,0,0,0.246313250637882,1,0,0,0,-3.31298324929712,-2.99953589630786,0.608154195759574,0.608154195759574,0.970494497419226,-2.55428197531251,1.5,1.70182411404468,2.55273617106701,0,0,0.138740488910474,6.37850363045604,4.78318851602783,0,1.1802543206538,1.22873643646012,2.45625140934836,0.632926686455741,0.652600925419705,0.688722781677876
"9","D77","Bar Soap","RECKITT","Bar Soap","ALL",9,"BAR SOAP-All-120GM-35%",1,"GH",20.2030512452732,20.0596296779241,1,1,119.560111912123,1,96,1512.17371054776,51535.56,140,"GH",54595.46,1,1,2024-07-10,2024-07-23,23002.4692857143,153837.3,18,1,"GH",1535.57383011424,152737.4,2376.0331061992,2.17444314968937,117.385668762434,-7804.99121028205,-7781.59109071557,1940.23654677499,9747.15933055087,10.3328161527209,10.3305171456667,0,0,5.08050837953149,10.3288662930526,5.08215923214561,1,0,0,0,-3.28696774231416,-2.9145705288436,0.613131285115675,0.613131285115675,0.978436953242008,-2.51634936416283,1.5,1.70750444651521,2.56125666977281,0,0,0.00709900527439511,1.24541783241795,0.022650449475931,1.22276738294202,0.0276977922806724,0.0281264015380443,0.0435207086120202,-0.800745216692887,-0.79834450498059,0.199056615468841
"10","D77","Bar Soap","RECKITT","Bar Soap","ALL",10,"BAR SOAP-All-120GM-35%",0,"0",19.2705487804878,8.84832317073171,0,1,1132.31238915624,1,65,-3233.63652816112,4861.34,0,"0",21953.79,1,1,2024-07-27,2024-08-05,-12591.9619047619,14511.25,18,0,"0",-3012.02210451172,-2581.2,760.669786885977,777.108492517224,0,6413.76985608856,6635.38427973795,7030.11893010529,11979.8313979907,0.34298754856729,0.340733855303935,0,0,0,0,0.340733855303935,1,0,0,0,-3.26711435304823,-2.7356166675447,0.610337490642931,0.610337490642931,0.973978606688414,-2.55246147550485,1.5,1.68970160721846,2.5345524108277,0,0,0.54083699060553,17.4201906024037,11.9555152694958,0,-0.147292860511152,-0.137198274398713,0.034648677375796,0.535380644602753,0.553879604753942,0.586829538459483
