"","PPG","Week End Date","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Flag_TPR_HEA","Flag_Display_HEA","Event_Number","Display_Type","Units","Base_Units","OID_Total","UNCR_Total","Total_Inc_Unit_Sales","Retro_Fund_Total","RSP_Unit","R_GM_Inc","R_Net_Revenue_Inc","R_NIS_Inc","R_Total_Trade_Inv_Inc","Display_Flag_KAM_Input","Key"
"1","D77",2023-12-31,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,0,"0",15,5,0,-2.5,0,0,19.3333333333333,0,0,0,0,0,"D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35% 0"
"2","D77",2024-01-01,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,0,"0",25,7,0,-17,0,0,18.82,0,0,0,0,0,"D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35% 0"
"3","D77",2024-01-02,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,0,"0",12,7,0,-19.5,0,0,17.875,0,0,0,0,0,"D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35% 0"
"4","D77",2024-01-03,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,0,"0",12,5,0,0,0,0,17.5833333333333,0,0,0,0,0,"D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35% 0"
"5","D77",2024-01-04,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,0,"0",15,7,0,0,0,0,17.7,0,0,0,0,0,"D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35% 0"
"6","D77",2024-01-05,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,0,"0",12,7,0,0,0,0,17.875,0,0,0,0,0,"D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35% 0"
"7","D77",2024-01-06,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,0,"0",23,7,0,0,0,0,18.2173913043478,0,0,0,0,0,"D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35% 0"
"8","D77",2024-01-07,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,0,"0",28,7,0,0,0,0,17.75,0,0,0,0,0,"D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35% 0"
"9","D77",2024-01-08,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,0,"0",23,7,0,0,0,0,17.6086956521739,0,0,0,0,0,"D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35% 0"
"10","D77",2024-01-09,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,0,"0",11,6,0,0,0,0,17.3181818181818,0,0,0,0,0,"D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35% 0"
