"","PPG","Week End Date","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Inc_GM_Abs","Trade_Investment","Units","Gross_Sales","Net_Cost_Total","GM_Abs","FM_Total","Retailer_Revenue","Net_Revenue","Base_Units","Total_Inc_Unit_Sales","No_Of_Units","ACV_D","ACV_D_Any_Promo","ACV_D_Multibuy_Display","ACV_D_Multibuy_Only","ACV_D_Feature_Display","ACV_D_Display_Only","ACV_D_Feature_Only","ACV_D_Unsupported","ACV_D_Total_Multibuy","ACV_D_Multibuy_Feature_Display","ACV_D_Multibuy_Feature","Total Regular Price Elasticiy_Betas","Regular Price Elasticity_Betas","Reg Price Ratio Rest of Brand_Betas","Reg Price Ratio Rest of Manufacturer_Betas","Reg Price Ratio Rest of Category_Betas","Promoted Price Elasticity_Betas","Display Only_Betas","Feature Only_Betas","Feature and Display_Betas","Multi Buy_Betas","Total Multibuy Effect_Betas","Flag_Display_HEA","Flag_TPR_HEA","Display_Num","Inc_Revenue","NIS","Inc_NIS","Display_Cost","Retro_Fund_Total","VAT","R_GM_Inc","R_Net_Revenue_Inc","R_NIS_Inc","R_Total_Trade_Inv_Inc","Value","Units_Sale_in_Case"
"1","D77",2023-12-31,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,-2.5,15,292.5,246.6,242.2,31.9714285714285,292.5,295,5,0,18,0.221436388207827,0.129736425234954,0,0,0,0,0.129736425234954,1,0,0,0,-3.21325164879408,-2.74080926167983,0.642171672383094,0.642171672383094,1.02477970026647,-2.43973628095793,1.5,1.58066123618277,2.37099185427415,0,0,0,0,0,0,295,0,0,0,0.05,0,0,0,0,292.5,0.833333333333333
"2","D77",2024-01-01,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,-17,25,487.5,411,416.5,53.2857142857142,487.5,504.5,7,0,18,0.266969444534542,0.138750940011162,0,0,0,0,0.138750940011162,1,0,0,0,-3.19604280455561,-2.84171101421992,0.628929899066208,0.628929899066208,1.00364843416699,-2.44391899648679,1.5,1.59597036164069,2.39395554246104,0,0,0,0,0,0,504.5,0,0,0,0.05,0,0,0,0,487.5,1.38888888888889
"3","D77",2024-01-02,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,-19.5,12,234,197.28,211.26,25.5771428571428,234,253.5,7,0,18,0.20758750829733,0.134382891615401,0,0,0,0,0.134382891615401,1,0,0,0,-3.25801910222063,-3.11038085624742,0.606993633320339,0.606993633320339,0.968642468001288,-2.49329166722335,1.5,1.67734965732712,2.51602448599068,0,0,0,0,0,0,253.5,0,0,0,0.05,0,0,0,0,234,0.666666666666667
"4","D77",2024-01-03,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,12,211,197.28,168.76,3.67238095238093,211,211,5,0,18,0.419461289958818,0.39053068803782,0,0,0,0,0.39053068803782,1,0,0,0,-3.12106805537743,-2.82579156343102,0.598091600989098,0.598091600989098,0.954436575065655,-2.32372315594126,1.5,1.81991101283325,2.72986651924988,0,0,0,0,0,0,211,0,0,0,0.05,0,0,0,0,211,0.666666666666667
"5","D77",2024-01-04,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,15,265.5,246.6,212.7,6.25714285714282,265.5,265.5,7,0,18,0.189749273185364,0.183399925945746,0,0,0,0,0.183399925945746,1,0,0,0,-3.27216587877153,-3.15405528199297,0.603447934317623,0.603447934317623,0.962984229686675,-2.48269360705067,1.5,1.72215924998749,2.58323887498124,0,0,0,0,0,0,265.5,0,0,0,0.05,0,0,0,0,265.5,0.833333333333333
"6","D77",2024-01-05,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,12,214.5,197.28,172.26,7.00571428571426,214.5,214.5,7,0,18,0.223912196585513,0.213995964401093,0,0,0,0,0.213995964401093,1,0,0,0,-3.25801910222063,-3.11038085624742,0.606993633320339,0.606993633320339,0.968642468001288,-2.49329166722335,1.5,1.67734965732712,2.51602448599068,0,0,0,0,0,0,214.5,0,0,0,0.05,0,0,0,0,214.5,0.666666666666667
"7","D77",2024-01-06,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,23,419,378.12,338.04,20.927619047619,419,419,7,0,18,0.307402702902792,0.288870927557152,0,0,0,0,0.288870927557152,1,0,0,0,-3.15096649620062,-2.91988054598169,0.614318013365169,0.614318013365169,0.980330738147376,-2.36522443919734,1.5,1.69458724087698,2.54188086131546,0,0,0,0,0,0,419,0,0,0,0.05,0,0,0,0,419,1.27777777777778
"8","D77",2024-01-07,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,28,497,460.32,398.44,13.0133333333333,497,497,7,0,18,0.379438183044868,0.341261903853023,0,0,0,0,0.341261903853023,1,0,0,0,-3.35920955866836,-3.16938895670282,0.604753157694427,0.604753157694427,0.965067109512092,-2.61188868476468,1.5,1.66976596835997,2.50464895253995,0,0,0,0,0,0,497,0,0,0,0.05,0,0,0,0,497,1.55555555555556
"9","D77",2024-01-08,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,23,405,378.12,324.04,7.59428571428566,405,405,7,0,18,0.430724076259313,0.424546817810766,0,0,0,0,0.424546817810766,1,0,0,0,-3.3568973499369,-3.27986869986393,0.602808793599878,0.602808793599878,0.961964286793945,-2.55174973290404,1.5,1.73023569244968,2.59535353867452,0,0,0,0,0,0,405,0,0,0,0.05,0,0,0,0,405,1.27777777777778
"10","D77",2024-01-09,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,11,190.5,180.84,151.78,0.588571428571406,190.5,190.5,6,0,18,0.18682523869651,0.168397537007244,0,0,0,0,0.168397537007244,1,0,0,0,-3.41332170544229,-3.41332170544229,0.595502335307188,0.595502335307188,0.950304616239799,-2.65406056881999,1.5,1.68435521287902,2.52653281931853,0,0,0,0,0,0,190.5,0,0,0,0.05,0,0,0,0,190.5,0.611111111111111
