"PPG","Best_ROI_Flag","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Tesco_Week_No","Base Sales","RSP (unit)","Net Cost (Unit)","FM%","COGS (unit)","BIP (Case)","OID","No_Of_Units","STP (Unit)","OID_Unit","UNCR_Unit","Start Date","End Date","Duration","Seq","VAT","Track ID","Rank","Min_Disc_Slots","Extra_Slot_Flag","Min_Display_Slots","Max_Display_Slots","Discount","Display","Display_Cost","Display_Flag","Event_Multiplier_Tesco","ROI","Adi_Display_Flag","Flag_Check","Flag_Check_Counter","Event_Lift","Total_Sales","Promo_Price","Retro_Funding_Unit","Gross_Sales","Retro_Funding_Total","UNCR_Total","OID_Total","Total_Trade_Investment","Net_Revenue","NIS","BIP","COGS_Total","GM_Abs","Inc_GM_Abs","Inc_Revenue","Inc_NIS","R_UNCR_Inc","R_OID_Inc","R_Retro_Inc","R_Display_Cost","R_Trade_Inv_Inc","R_NIS_Inc","R_Net_Rev_Inc","R_GM_Inc","Value_Sales"
"D77","0","D77","Bar Soap","RECKITT","Bar Soap","ALL","1",58,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0,"2026-01-06","2026-01-15",10,0,0.2,1,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,58,13.5142857142857,0.335,783.828571428571,262.582571428571,0,0,262.582571428571,521.246,783.828571428571,953.52,204.16,317.086,0,0,0,0,0,19.43,0,19.43,0,-19.43,-19.43,783.828571428571
"D77","Display_with_Discount","D77","Bar Soap","RECKITT","Bar Soap","ALL","2",67,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0,"2026-01-15","2026-01-26",12,1,0.2,2,1,15,1,1,10,0.112050739957717,"GH",140,1,4.70016912333229,0.438889093248376,9,1,1,314.911331263263,381.911331263263,12,0.335,4582.93597515916,1535.28355167832,578.322873055799,0,2253.60642473412,2329.32955042504,4004.61310210336,6278.62228596805,1344.32788604669,985.001664378356,812.199482010383,1920.68736805707,3302.0702449605,476.865730198656,0,127.940295973193,140,744.806026171849,4700.27655576939,4432.3362597962,3323.84837374951,4582.93597515916
"D77","0","D77","Bar Soap","RECKITT","Bar Soap","ALL","3",33,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0,"2026-01-27","2026-02-05",10,0,0.2,3,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,33,13.5142857142857,0.335,445.971428571429,149.400428571429,0,0,149.400428571429,296.571,445.971428571429,542.52,116.16,180.411,0,0,0,0,0,11.055,0,11.055,0,-11.055,-11.055,445.971428571429
"D77","Discount_Only","D77","Bar Soap","RECKITT","Bar Soap","ALL","4",44,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0,"2026-02-06","2026-02-19",14,1,0.2,4,3,15,1,1,10,0.112050739957717," ",0,0,4.69016581339856,0.0266875046857406,7,2,1,206.367295789537,250.367295789537,12,0.335,3004.40754947444,1006.47652907394,379.127619338441,0,1385.60414841238,1618.80340106206,2625.279930136,4116.03834277998,881.292881179169,737.510519882892,607.899091311463,1334.31197249063,2163.90850156457,312.49904790987,0,83.8730440894947,0,396.372091999364,3080.17929487011,2996.30625078062,2269.89336960145,3004.40754947444
"D77","0","D77","Bar Soap","RECKITT","Bar Soap","ALL","5",50,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0,"2026-02-20","2026-03-02",11,0,0.2,5,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,50,13.5142857142857,0.335,675.714285714286,226.364285714286,0,0,226.364285714286,449.35,675.714285714286,822,176,273.35,0,0,0,0,0,16.75,0,16.75,0,-16.75,-16.75,675.714285714286
"D77","Discount_Only","D77","Bar Soap","RECKITT","Bar Soap","ALL","6",33,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0,"2026-03-03","2026-03-12",10,1,0.2,6,4,15,1,1,10,0.112050739957717," ",0,0,4.69016581339856,0.0266875046857406,6,2,1,154.775471842152,187.775471842152,12,0.335,2253.30566210583,754.857396805453,284.345714503831,0,1039.20311130928,1214.10255079655,1968.959947602,3087.02875708499,660.969660884376,553.132889912169,455.924318483597,1000.73397936797,1622.93137617343,234.374285932402,0,62.9047830671211,0,297.279068999523,2310.13447115258,2247.22968808546,1702.42002720109,2253.30566210583
"D77","0","D77","Bar Soap","RECKITT","Bar Soap","ALL","7",48,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0,"2026-03-13","2026-03-23",11,0,0.2,7,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,48,13.5142857142857,0.335,648.685714285714,217.309714285714,0,0,217.309714285714,431.376,648.685714285714,789.12,168.96,262.416,0,0,0,0,0,16.08,0,16.08,0,-16.08,-16.08,648.685714285714
"D77","Discount_Only","D77","Bar Soap","RECKITT","Bar Soap","ALL","8",59,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0,"2026-03-24","2026-04-03",11,1,0.2,8,2,15,1,1,10,0.112050739957717," ",0,0,4.69016581339856,0.0266875046857406,8,2,1,276.719782990515,335.719782990515,12,0.335,4028.63739588618,1349.59352762187,508.375671385637,0,1857.96919900751,2170.66819687867,3520.26172450054,5519.23323236406,1181.73363612661,988.934560752059,815.137417894917,1789.19105402153,2901.6045816434,419.03281424278,0,112.466127301822,0,531.498941544602,4130.24041812129,4017.77429081946,3043.72065469285,4028.63739588618
"D77","0","D77","Bar Soap","RECKITT","Bar Soap","ALL","9",33,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0,"2026-04-04","2026-04-14",11,0,0.2,9,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,33,13.5142857142857,0.335,445.971428571429,149.400428571429,0,0,149.400428571429,296.571,445.971428571429,542.52,116.16,180.411,0,0,0,0,0,11.055,0,11.055,0,-11.055,-11.055,445.971428571429
"D77","Discount_Only","D77","Bar Soap","RECKITT","Bar Soap","ALL","10",14,13.5142857142857,16.44,-0.277315010570825,3.52,295.92,0,18,16.44,0,0,"2026-04-15","2026-04-24",10,1,0.2,10,5,15,1,1,10,0.112050739957717," ",0,0,4.69016581339856,0.0266875046857406,5,2,1,65.6623213875798,79.6623213875798,12,0.335,955.947856650958,320.242531978071,120.631515244049,0,440.87404722212,515.073809428837,835.316341406908,1309.64856361181,280.411371284281,234.662438144557,193.422438144557,424.553809428837,688.516341406908,99.4315152440494,0,26.6868776648392,0,126.118392908889,980.057048367763,953.370170702923,722.238799418643,955.947856650958
